state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
AK,2016,741894,0.5264539139014468,0.6102718178068565,0.03201670319479602,0.06915273610515787,0.29788484544973987,26.7,0.17395442647842,0.0005957724418852289,0.002019156375439079,0.0024612680517701988,17.2,2.71,0.13883384957958952,0,0.34,0.37,0.23,0.06,2
AK,2017,739795,0.5214633783683318,0.6056826553301928,0.029882602612886004,0.06990044539365635,0.31985219715420204,28.1,0.18783986345284856,0.0003974073898850357,0.0020965267405159537,0.002470954791530086,4.5,2.9,0.13246912996167856,0,0.34,0.37,0.23,0.06,2
AK,2018,737438,0.5193006056102344,0.6011407060661371,0.03416829618218752,0.07196401595795172,0.3211754643206256,27.4,0.17283258808595314,0.0004190182767907268,0.002314770868873044,0.002630729634220097,6.7,2.44,0.14374089753986097,1,0.34,0.37,0.23,0.06,2
AK,2019,731545,0.5200404623092223,0.598341865503831,0.03082653835375814,0.07183153462876515,0.336969171439655,27.6,0.18617517739269288,0.00037318278438100183,0.002233628826661381,0.002567169483763815,7.5,2.5,0.15036668967732675,1,0.34,0.37,0.23,0.06,2
AZ,2011,6482505,0.49803494173934304,0.5728248570575727,0.041024264539711114,0.300700886462872,0.3971836101199403,31.1,0.24269449648753053,0.0004939448561937091,0.001126416408471725,0.0013494783266653862,41.5,0.05,0.07851902929500247,0,0.39,0.31,0.23,0.07,0
AZ,2012,6553255,0.497567544678179,0.5692392559117568,0.04369477458148661,0.3015454152173233,0.3979916501704344,30.8,0.2408460801457927,0.000471063616477613,0.0012535755132373149,0.001409681143187622,45.3,0.26,0.07767132516589084,0,0.39,0.31,0.23,0.07,0
AZ,2013,6626624,0.4977022990892497,0.5659992177012005,0.04194790590200983,0.30258454380390376,0.40677787524129927,29.8,0.23214877829723599,0.00047248795163268656,0.0011213854898059707,0.0013254109483199891,38.6,1.3,0.08511121198365865,0,0.39,0.31,0.23,0.07,0
AZ,2014,6731484,0.49661352533854347,0.5611073278938196,0.04167253461495266,0.30549816355501996,0.40829310218054393,29.8,0.22669051135412538,0.00038163947206886324,0.0011774521041719775,0.0013181343073830377,46.5,0.03,0.09121317082533362,0,0.39,0.31,0.23,0.07,0
AZ,2015,6828065,0.4960973570111005,0.5568580556863475,0.04403663409765431,0.30732147394613263,0.4119337745544679,29.5,0.2170041996205419,0.0004330655903246381,0.0010162469162200418,0.0010944535530930065,45.1,1.79,0.10749751210628487,0,0.39,0.31,0.23,0.07,0
AZ,2016,6931071,0.4969257997789952,0.553265721848759,0.04323631946635664,0.3094435189020571,0.4055929708999196,29,0.22286342461108508,0.00046803733506697593,0.0009324677239635837,0.001001576812587838,41.8,1.4,0.08194981699076521,0,0.39,0.31,0.23,0.07,0
AZ,2017,7016270,0.49709061937468196,0.5468203190584171,0.04384879715290318,0.3138666271394915,0.40102391008085136,29.2,0.22054602726250236,0.0004512369107802294,0.0008239420660835458,0.0008380521274124285,42.3,2.07,0.08893614413356385,0,0.39,0.31,0.23,0.07,0
AZ,2018,7171646,0.4971144699557117,0.5430064451033975,0.04689857809490318,0.3160142037127878,0.40219236693269717,28.8,0.20608610863206045,0.0005669549222033547,0.0008086009822570718,0.0009318641773450614,47.6,0.56,0.10262637057099584,1,0.39,0.31,0.23,0.07,0
AZ,2019,7278717,0.49746885337072455,0.5398221966865864,0.04722384453194155,0.3174449563020516,0.39760475153192787,28.6,0.2039511905416315,0.0006226372037819302,0.00075219300324494,0.0009023568301941126,42.4,1.5,0.10510094017942997,1,0.39,0.31,0.23,0.07,0
AR,2011,2937979,0.4928047477534727,0.7425029246294816,0.15771521852266474,0.06468630306751683,0.4052642831442472,31.4,0.22658687277139528,0.0005520801884560781,0.000613346793833448,0.000922402780959292,37.6,1.6,0.06194734543711851,0,0.42,0.38,0.14,0.06,0
AR,2012,2949131,0.4914210321616775,0.7389186848600486,0.15671802981963162,0.0670926452571961,0.4063939895356612,29.4,0.219313352514781,0.0008856846304894561,0.0005432108644885561,0.0009026387773211838,44.6,2.92,0.0617130944674889,0,0.42,0.38,0.14,0.06,0
AR,2013,2959373,0.4938694784334384,0.7359974562179218,0.15676563920803493,0.06863311924519147,0.41713372969179,29.3,0.2085112668173055,0.0007258294240029898,0.0005622812670116271,0.0008454493570090692,42.1,6.04,0.06555442656265364,0,0.42,0.38,0.14,0.06,0
AR,2014,2966369,0.49109803938754754,0.7336194519292778,0.15784651201519434,0.06936527451574635,0.417598379819778,28.9,0.19604878931183295,0.00048308217891975,0.0005066800522794028,0.0007251289370944747,35.2,1.98,0.07247918246179083,0,0.42,0.38,0.14,0.06,0
AR,2015,2978204,0.49142906261626135,0.73028375490732,0.1576638134929642,0.069754456041292,0.4241653691147359,28.9,0.2040846529524937,0.0002961516403846076,0.0005634268169675415,0.0008347312675693136,38.6,3.49,0.09535948511250404,0,0.42,0.38,0.14,0.06,0
AR,2016,2988248,0.49151944550786947,0.7279268655078159,0.15544760675820748,0.07179591519847081,0.42505612760842326,27.6,0.19751114578138962,0.0002834436766961778,0.0005407851021735813,0.0008011383258685357,39.5,2.02,0.0732870899604049,0,0.42,0.38,0.14,0.06,0
