state	pop_tot	pop_male	pop_female	pop_white	pop_black	pop_aiak	pop_asian	pop_hipi	pop_other	pop_mult	pop_hisp	pop_medage	mob_tot	mob_nomove	mob_samecounty	mob_diffcounty	mob_diffstate	mob_diffcntry	pov_tot	pov_u50	pov_50t74	pov_75t99	pov_100t124	pov_125t149	pov_150t174	pov_175t184	pov_185t199	me_medearn	asst_tot	asst_rcvd	empl_tot	empl_notinlabor	occu_tot	occu_vacant	tenure_tot	tenure_rent	vcncy_tot	vcncy_forrent	vcncy_forsale	hhsize_tot	hhsize_own	hhsize_rent	nbrrms_tot	nbrrms_own	nbrrms_rent	rentpct_tot	rentpct_u10	rentpct_10t14	rentpct_15t19	rentpct_20t24	rentpct_25t29	rentpct_30t34	rentpct_35t39	rentpct_40t49	rentpct_50plus	rentpct_median	year	pop_male_pcp	pop_female_pcp	pop_white_pcp	pop_black_pcp	pop_aiak_pcp	pop_asian_pcp	pop_hipi_pcp	pop_other_pcp	pop_mult_pcp	pop_hisp_pcp	pop_medage_pcp	mob_nomove_pcp	mob_samecounty_pcp	mob_diffcounty_pcp	mob_diffstate_pcp	mob_diffcntry_pcp	pov_u50_pcp	pov_50t74_pcp	pov_75t99_pcp	pov_100t124_pcp	pov_125t149_pcp	pov_150t174_pcp	pov_175t184_pcp	pov_185t199_pcp	me_medearn_pcp	asst_rcvd_pcp	empl_notinlabor_pcp	occu_tot_pcp	occu_vacant_pcp	tenure_tot_pcp	tenure_rent_pcp	vcncy_tot_pcp	vcncy_forrent_pcp	vcncy_forsale_pcp	hhsize_tot_pcp	hhsize_own_pcp	hhsize_rent_pcp	nbrrms_tot_pcp	nbrrms_own_pcp	nbrrms_rent_pcp	rentpct_u10_pcp	rentpct_10t14_pcp	rentpct_15t19_pcp	rentpct_20t24_pcp	rentpct_25t29_pcp	rentpct_30t34_pcp	rentpct_35t39_pcp	rentpct_40t49_pcp	rentpct_50plus_pcp	rentpct_median_pcp	statecode
Alabama	4802740.0	2324413.0	2478327.0	3202563.0	1281095.0	24408.0	54259.0		58499.0	64450.0	186204.0	38.1	4745278.0	4024442.0	439576.0	148717.0	117726.0	14817.0	4687363.0	367360.0	258142.0	266981.0	276108.0	244229.0	259092.0	98999.0	133479.0	26281.0	1844546.0	313871.0	3808975.0	1552980.0	2182199.0	337653.0	1844546.0	555329.0	337653.0	51359.0	35033.0	2.54	2.57	2.47	5.8	6.3	4.6	555329.0	16237.0	43962.0	56377.0	54397.0	51730.0	44984.0	35018.0	45745.0	133883.0	32.1	2011	0.48397643844971827	0.5160235615502817	0.6668199819269833	0.26674252614132765	0.005082098968505478	0.01129750933841932		0.012180338723312109	0.013419423079325551	0.03877036858126819	38.1	0.8480940421193447	0.09263440413817695	0.031339997361587664	0.02480908389350424	0.003122472487386408	0.07837242389804246	0.05507190290148213	0.05695761134778766	0.058904761589832065	0.05210370948441587	0.055274575491593037	0.02112040394567265	0.028476352268855646	26281.0	0.17016165495466093	0.4077159865843173	0.4543654247367128	0.0703042429946239	0.38406118174208886	0.11562753761394537	0.0703042429946239	0.010693687353469062	0.007294377792676681	2.54	2.57	2.47	5.8	6.3	4.6	0.029238523469871013	0.07916388303150025	0.10151999985594125	0.09795454586380326	0.09315198738045374	0.08100423352643207	0.06305811509933751	0.0823745923587639	0.24108771557040962	32.1	AL
Alabama	4822023.0	2336291.0	2485732.0	3212468.0	1276164.0	24136.0	58679.0		52468.0	75847.0	185441.0	38.2	4764428.0	4054260.0	427799.0	162527.0	104600.0	15242.0	4706978.0	399317.0	237825.0	255422.0	265357.0	266414.0	250480.0	88752.0	128051.0	26647.0	1845169.0	309540.0	3825109.0	1588231.0	2189567.0	344398.0	1845169.0	576604.0	344398.0	49701.0	33139.0	2.55	2.58	2.49	5.8	6.3	4.7	576604.0	22243.0	48074.0	61606.0	61314.0	54152.0	39024.0	31614.0	43557.0	131449.0	29.9	2012	0.4845043252593362	0.5154956747406638	0.6662075232739454	0.2646532378630297	0.005005368078916256	0.01216895896182992		0.010880910356503898	0.015729290382895313	0.03845709570443774	38.2	0.85094370195121	0.08979021196248532	0.03411259441846954	0.021954366820109362	0.003199124847725687	0.08483511076533606	0.050526048772694496	0.054264540858274674	0.0563752369354605	0.05659979715222803	0.053214610308354955	0.01885540998916927	0.027204503611446666	26647.0	0.1677569913650186	0.41521195866575306	0.4540764322360138	0.07142189077074083	0.382654541465273	0.11957719820083812	0.07142189077074083	0.010307084806522076	0.006872426780212371	2.55	2.58	2.49	5.8	6.3	4.7	0.03857586836026111	0.0833743782561342	0.10684282453815791	0.10633641112444589	0.09391540814839994	0.0676790310160873	0.05482792349688868	0.07554057897621244	0.22797101650352755	29.9	AL
Alabama	4833722.0	2341869.0	2491853.0	3204524.0	1284102.0	22459.0	58624.0		54784.0	81754.0	189934.0	38.3	4781296.0	4067683.0	437486.0	157097.0	104102.0	14928.0	4716105.0	397866.0	232326.0	253179.0	271168.0	271450.0	243545.0	89546.0	137851.0	26831.0	1822439.0	283047.0	3845555.0	1608963.0	2190027.0	367588.0	1822439.0	582422.0	367588.0	60341.0	36593.0	2.59	2.62	2.52	5.8	6.4	4.7	582422.0	25915.0	51937.0	59597.0	59299.0	57203.0	48805.0	29362.0	45686.0	129822.0	30.0	2013	0.484485661359921	0.515514338640079	0.6629516550600137	0.2656549135428144	0.004646316027276703	0.012128128179485704		0.011333709303100178	0.01691326063021415	0.03929352991338766	38.3	0.8507490437739057	0.09149945956075507	0.03285657277859392	0.02177275784640817	0.0031221660403371806	0.08436326163221557	0.04926226197253878	0.05368391925116171	0.05749829573344953	0.05755809083979258	0.05164113182382496	0.01898727869714521	0.02922984115069533	26831.0	0.1553121942627435	0.4183955241831153	0.4530726011963452	0.07604657446166743	0.3770260267346777	0.12049141427661748	0.07604657446166743	0.012483340994786212	0.007570356756139472	2.59	2.62	2.52	5.8	6.4	4.7	0.044495228545624994	0.08917417267891665	0.10232614839411973	0.1018144918976275	0.09821572674109151	0.0837966285614211	0.05041361761746637	0.07844140502934298	0.22290023385105645	30.0	AL
Alabama	4849377.0	2347969.0	2501408.0	3205535.0	1291826.0	22553.0	58456.0		69859.0	84964.0	192413.0	38.6	4791931.0	4081522.0	433594.0	155617.0	107919.0	13279.0	4727549.0	390019.0	247974.0	272182.0	272735.0	251620.0	246916.0	87454.0	139889.0	26984.0	1841217.0	291541.0	3868747.0	1635284.0	2208030.0	366813.0	1841217.0	595137.0	366813.0	70057.0	32881.0	2.57	2.59	2.52	5.8	6.4	4.7	595137.0	17636.0	51124.0	59811.0	61886.0	58341.0	44448.0	37525.0	44883.0	139168.0	31.0	2014	0.4841795141932665	0.5158204858067336	0.6610199619456273	0.26639009505757133	0.004650700492042586	0.01205433192758575		0.014405767998652197	0.017520601099893864	0.03967788027204319	38.6	0.8517489087384605	0.09048419102862708	0.03247479982495574	0.022520983711994184	0.002771116695962442	0.08249919778726778	0.05245297298875168	0.05757359680460213	0.05769057073760631	0.05322419714740133	0.05222917837551763	0.018498803502618375	0.029590174528069408	26984.0	0.1583414665408803	0.42269086089113606	0.45532240533165397	0.07564126278488968	0.37968114254676427	0.12272442418892159	0.07564126278488968	0.014446597985679398	0.006780458603239138	2.57	2.59	2.52	5.8	6.4	4.7	0.02963351295584042	0.08590290975019198	0.10049954884337556	0.10398614100618848	0.0980295293352623	0.07468532455552251	0.06305270887207483	0.07541624869567848	0.2338419557177591	31.0	AL
Alabama	4858979.0	2352810.0	2506169.0	3204076.0	1303298.0	20503.0	59393.0		54105.0	87319.0	192870.0	38.7	4801599.0	4113945.0	410330.0	150689.0	114876.0	11759.0	4736333.0	385733.0	229648.0	260635.0	253264.0	232748.0	246683.0	94147.0	148528.0	28443.0	1846390.0	285429.0	3878471.0	1671374.0	2218391.0	372001.0	1846390.0	592795.0	372001.0	65156.0	31401.0	2.57	2.61	2.48	5.8	6.4	4.7	592795.0	23643.0	49457.0	67012.0	59472.0	56864.0	45130.0	35050.0	45381.0	127820.0	29.9	2015	0.4842190097960909	0.5157809902039091	0.6594134282119762	0.2682246620123281	0.004219610745384988	0.01222334980249966		0.011135055327466944	0.017970647743075243	0.03969352409220126	38.7	0.856786458011175	0.08545694882059081	0.031383087175751244	0.023924530140896814	0.002448975851586107	0.08144127534951617	0.0484864556609512	0.055028858823904486	0.0534725915597573	0.04914097045119083	0.05208312000021958	0.019877614179577324	0.03135928153700342	28443.0	0.15458760066941438	0.4309363148519094	0.45655496761768266	0.07655949943393457	0.3799954681837481	0.12199990985760589	0.07655949943393457	0.013409401440096778	0.006462468761441447	2.57	2.61	2.48	5.8	6.4	4.7	0.039883939641866074	0.0834301908754291	0.11304413836149091	0.10032473283344158	0.09592523553673699	0.07613087154918648	0.05912667954351842	0.07655428942551809	0.21562260140520753	29.9	AL
Alabama	4863300.0	2356052.0	2507248.0	3197147.0	1301102.0	24509.0	65611.0		70333.0	83858.0	199686.0	39.0	4810126.0	4141850.0	383582.0	146412.0	122220.0	16062.0	4741329.0	356387.0	199604.0	254240.0	248703.0	240669.0	246473.0	90575.0	123466.0	29257.0	1852518.0	270409.0	3897741.0	1665078.0	2230180.0	377662.0	1852518.0	584380.0	377662.0	68943.0	27720.0	2.56	2.61	2.45	5.8	6.4	4.7	584380.0	21665.0	50539.0	64662.0	58466.0	58538.0	40487.0	34557.0	46251.0	123220.0	29.6	2016	0.48445541093496186	0.5155445890650382	0.657402792342648	0.26753480147225134	0.005039582176711286	0.013491045175086876		0.014461990829272305	0.01724302428392244	0.04105977422737647	39.0	0.8610689200241324	0.07974468860067283	0.030438287895161165	0.02540889781265605	0.0033392056673775283	0.0751660557620026	0.04209874488777303	0.053622096251915864	0.05245428022396252	0.050759818607820716	0.05198394796058236	0.019103293612402768	0.026040378130266852	29257.0	0.14596835226432348	0.42719051881589876	0.45857339666481606	0.07765550140850863	0.3809178952563074	0.12016120741060597	0.07765550140850863	0.014176176670162235	0.005699833446425267	2.56	2.61	2.45	5.8	6.4	4.7	0.03707347958520141	0.08648311030493856	0.1106506040590027	0.10004791402854307	0.10017112153051097	0.06928197405797598	0.05913446729867552	0.07914541907662823	0.21085594989561587	29.6	AL
Alabama	4874747.0	2359896.0	2514851.0	3191450.0	1307467.0	25181.0	66908.0		67308.0	93584.0	201970.0	38.9	4819343.0	4158224.0	387796.0	147853.0	111803.0	13667.0	4752560.0	352069.0	213202.0	237385.0	261989.0	218451.0	253198.0	100342.0	131987.0	30549.0	1841665.0	258110.0	3906384.0	1699176.0	2258669.0	417004.0	1841665.0	588466.0	417004.0	74470.0	22712.0	2.58	2.65	2.43	5.9	6.4	4.7	588466.0	25689.0	52265.0	64836.0	62472.0	61143.0	41781.0	31170.0	44723.0	122592.0	28.9	2017	0.48410635464773866	0.5158936453522613	0.6546903870088027	0.2682122785038895	0.005165601414801629	0.013725430263355206		0.013807485803878642	0.01919771426086318	0.041431893798796124	38.9	0.8628196830978828	0.08046656982082412	0.030679078040305494	0.02319880531433434	0.0028358637266531973	0.07407986432575285	0.04486045415523423	0.049948869661824366	0.05512586900533607	0.04596491154241083	0.05327612907569815	0.02111325264699446	0.02777176932011379	30549.0	0.1401503530772426	0.43497413464728507	0.4633407641463239	0.08554372155108768	0.3777970425952362	0.12071723927416131	0.08554372155108768	0.01527669025695077	0.004659113590920719	2.58	2.65	2.43	5.9	6.4	4.7	0.04365417883106246	0.08881566649560042	0.1101779881930307	0.10616076374845786	0.10390234949852668	0.07099985385731716	0.052968225861816993	0.0759992930772551	0.20832469505459958	28.9	AL
Alabama	4887871.0	2369271.0	2518600.0	3192169.0	1307040.0	22063.0	65095.0		84027.0	101011.0	211485.0	39.3	4832358.0	4173026.0	381301.0	153613.0	109301.0	15117.0	4763828.0	363398.0	204314.0	232710.0	245399.0	237588.0	244062.0	95481.0	116728.0	31216.0	1855184.0	247434.0	3930579.0	1698966.0	2274711.0	419527.0	1855184.0	592927.0	419527.0	68102.0	23952.0	2.57	2.63	2.44	5.9	6.5	4.7	592927.0	25648.0	54722.0	66867.0	57428.0	60512.0	46340.0	30309.0	43018.0	124235.0	29.1	2018	0.4847245354879456	0.5152754645120544	0.6530796332390932	0.267404765796806	0.004513826162760842	0.013317659160808458		0.017190920136803938	0.020665643590021095	0.043267303903887805	39.3	0.8635589498956824	0.0789057847121426	0.03178841468285255	0.022618564270279643	0.0031282864390428026	0.07628277091448306	0.042888618144903634	0.04884937071615516	0.05151298493564419	0.0498733371565892	0.05123232828725135	0.020042915067462554	0.024502983734929137	31216.0	0.1333743714909141	0.4322431885989316	0.46537868941303895	0.0858302111491895	0.3795484782638494	0.12130577914187997	0.0858302111491895	0.013932855429286083	0.004900292990547418	2.57	2.63	2.44	5.9	6.5	4.7	0.04325658976568785	0.09229129386922842	0.11277442248371217	0.09685509346007182	0.1020564082930951	0.07815464635612816	0.051117591204313514	0.0725519330372879	0.20952832304819985	29.1	AL
Alabama	4903185.0	2369611.0	2533574.0	3192955.0	1319551.0	23265.0	66129.0		74451.0	91522.0	219296.0	39.4	4849509.0	4197698.0	387253.0	147589.0	104780.0	12189.0	4781688.0	331570.0	184722.0	222816.0	242756.0	232153.0	250088.0	100622.0	132998.0	31960.0	1897576.0	247490.0	3937453.0	1655471.0	2284922.0	387346.0	1897576.0	592353.0	387346.0	65229.0	19194.0	2.52	2.6	2.35	5.9	6.5	4.7	592353.0	27654.0	58476.0	66288.0	63174.0	56939.0	42119.0	34668.0	43221.0	122559.0	28.7	2019	0.4832799496653706	0.5167200503346294	0.651200189264733	0.26912119367309206	0.004744875014913775	0.013486947769664004		0.015184211894921362	0.018665826396515733	0.044725214324974484	39.4	0.8655923723411999	0.07985406357633319	0.030433802679817688	0.021606311071904392	0.002513450330744824	0.06934162161981292	0.03863112775237531	0.04659777049443627	0.05076784599915344	0.04855042821698111	0.0523011957283704	0.021043196461166015	0.02781402718035974	31960.0	0.13042428867144187	0.4204420979755187	0.4660077072351951	0.07899885482599575	0.3870088524091993	0.12080984095032107	0.07899885482599575	0.013303393610479719	0.003914598368203525	2.52	2.6	2.35	5.9	6.5	4.7	0.0466850003291956	0.09871816298727279	0.11190624509371945	0.10664924462271652	0.0961234264028375	0.07110456096280428	0.05852591275810201	0.07296493813655033	0.2069019655509468	28.7	AL
Alabama	5039877.0	2445896.0	2593981.0	3233247.0	1305106.0	24830.0	68813.0		106975.0	250611.0	237434.0	39.8	4989797.0	4392571.0	330986.0	137978.0	115641.0	12621.0	4920613.0	358721.0	207271.0	228334.0	249861.0	230391.0	234848.0	96087.0	120018.0	34817.0	1967559.0	277305.0	4046627.0	1711141.0	2313616.0	346057.0	1967559.0	589627.0	346057.0	46479.0	14242.0	2.5	2.59	2.3	6.0	6.5	4.7	589627.0	26524.0	50709.0	67029.0	56103.0	56020.0	46263.0	33147.0	43827.0	132728.0	30.0	2021	0.4853086692393485	0.5146913307606515	0.6415329183628886	0.2589559229322462	0.00492670753671171	0.013653706231322709		0.02122571642125393	0.049725618303780035	0.047111070369376076	39.8	0.8803105617322708	0.06633255821830027	0.027652026725736537	0.023175491908789075	0.0025293614149032514	0.07290168928139644	0.04212300378022007	0.04640356801073362	0.050778429435519516	0.046821605356893545	0.047727386811358664	0.019527445056134265	0.024390863496072543	34817.0	0.14093859447162702	0.42285612190103017	0.4590619969495287	0.06866377889777865	0.39039821805175007	0.11699233929716936	0.06866377889777865	0.009222248876311862	0.0028258626152979525	2.5	2.59	2.3	6.0	6.5	4.7	0.04498437147552605	0.0860018282744854	0.11368034367489956	0.09514998465131345	0.09500921769186282	0.07846146801282845	0.05621689644470148	0.07433004255232545	0.22510502402366242	30.0	AL
