year	state	hmls_es	hmls_th	hmls_sh	hmls_unsh	es	th	sh	rrh	psh	oph
2009	MD	4205	3241		4252	2703	3219	104		4775	
2009	ME	843	1563		38	995	1779	0		1796	
2009	MI	5725	5573		2707	5600	6416	43		9582	
2009	MN	3479	3293		946	3456	3705	10		7074	
2009	MO	2894	2575		1490	3732	3633	26		3195	
2009	MS	524	697		1576	803	648	0		307	
2009	MT	404	429		363	656	558	0		224	
2009	NC	4873	3600		4445	5219	4420	0		2968	
2009	ND	487	278		8	597	193	0		476	
2009	NE	1593	1486		639	1493	1696	0		575	
2009	NH	892	514		239	672	675	9		875	
2009	NJ	7602	4269		1298	4248	2533	28		2584	
2009	NM	985	1123		1367	1490	1253	0		1148	
2009	NV	1311	6481		3297	1517	6855	25		1794	
2009	NY	46894	10560		3613	47172	12774	124		34379	
2009	OH	6222	4707		1771	6324	4303	130		10900	
2009	OK	2316	991		1531	2505	1106	50		484	
2009	OR	2715	4727		9867	3522	4998	43		5984	
2009	PA	6954	6865		1277	7642	8312	158		7636	
2009	PR	551	774		2745	490	1498	50		1019	
2009	RI	819	737		51	872	561	17		1287	
2009	SC	1577	1459		1437	1744	2505	12		1200	
2009	SD	371	296		64	716	663	0		257	
2009	TN	4468	2665		3399	2800	2909	16		2447	
2009	TX	12672	8986		15103	12963	9341	145		6201	
2009	UT	2080	1460		255	1491	1675	49		1478	
2009	VA	4095	3189		1568	3656	4235	56		1948	
2009	VI	40	36		395	58	65	0		52	
2009	VT	595	462		157	370	415	6		444	
2009	WA	6714	9523		6545	6150	11732	45		6592	
2009	WI	2789	2676		1060	3039	2886	64		2087	
2009	WV	793	485		389	1198	643	12		458	
2009	WY	185	266		64	488	251	0		96	
2010	AK	1013	658	0	192	1081	724	0		494	
2010	AL	1428	2463	0	2155	1662	2525	34		2189	
2010	AR	668	1060	0	1034	1480	1220	0		898	
2010	AZ	3503	3671	40	6497	4111	4763	40		4508	
2010	CA	23701	27115	83	72581	20010	30065	207		39772	
2010	CO	4895	4136	0	6451	2591	3804	25		2634	
2010	CT	2314	1503	0	499	2270	1651	0		4261	
2010	DC	3584	2512	13	430	3471	2879	25		4832	
2010	DE	481	439	10	52	530	693	10		365	
2010	FL	10242	11478	97	35734	9418	13772	172		10258	
2010	GA	4303	4443	0	11090	4630	5335	0		4391	
2010	GU	56	126	0	1453	93	147	0		88	
2010	HI	994	2516	25	2299	1470	2764	25		1051	
2010	IA	1062	1841	0	111	1587	2391	0		885	
2010	ID	796	768	0	782	981	924	0		406	
2010	IL	4981	7172	55	2187	5485	7968	102		10749	
2010	IN	2707	2526	0	1219	3760	3876	25		2529	
2010	KS	1179	649	0	196	1622	1145	20		1024	
2010	KY	2740	2847	12	1024	2661	2883	12		2629	
2010	LA	1617	2479	0	8386	1900	3223	25		2841	
2010	MA	11451	4109	35	1051	10673	4812	24		8881	
2010	MD	3511	2947	57	4330	2691	3105	104		5166	
2010	ME	854	1497	0	28	1047	1677	0		1870	
2010	MI	5186	5001	32	2839	5568	6211	43		11987	
2010	MN	3360	3360	10	1139	3389	3926	10		7846	
2010	MO	3363	2930	43	1786	3674	3719	47		3934	
2010	MS	578	603	0	1562	736	640	0		305	
2010	MT	674	494	0	447	649	521	0		229	
2010	NC	4979	4194	0	3018	5391	4577	0		3328	
2010	ND	461	307	0	31	647	203	0		480	
2010	NE	1765	1590	0	522	1620	1870	0		645	
2010	NH	729	600	8	237	670	695	9		870	
2010	NJ	7878	4205	0	1654	4255	2570	20		2791	
2010	NM	985	1123	0	1367	1484	1208	0		1271	
2010	NV	1381	6467	0	3357	1479	2467	25		1830	
2010	NY	50469	10856	142	4139	50783	12918	140		35514	
2010	OH	6190	4452	87	1840	6575	4635	114		11489	
2010	OK	2350	920	45	1914	2518	1065	50		608	
2010	OR	2446	4746	39	12261	3026	4571	43		4836	
2010	PA	6878	6381	159	1098	7889	7683	173		8300	
2010	PR	548	846	10	2745	613	1374	32		1256	
2010	RI	761	428	17	76	771	427	17		1321	
2010	SC	1577	1459	0	1437	1542	1954	12		1300	
2010	SD	371	296	0	64	716	663	0		257	
2010	TN	4372	2605	22	3277	3120	3058	24		2843	
2010	TX	10577	8497	117	15930	12741	9470	182		6550	
2010	UT	1448	1225	49	562	1410	1463	49		1495	
2010	VA	4510	2875	54	1641	3726	4002	221		2164	
2010	VI	33	59	0	395	61	87	0		43	
2010	VT	611	461	6	142	395	385	6		321	
2010	WA	6043	10391	55	6389	6144	11871	56		7599	
2010	WI	2680	2560	13	1080	2992	2952	64		2039	
2010	WV	908	606	10	740	1244	746	12		503	
2010	WY	264	251	0	64	558	346	0		123	
2011	AK	1035	725	0	368	1208	731	0		586	
2011	AL	1615	2100	34	1809	1830	2633	34		2533	
2011	AR	1018	784	0	1622	1590	1120	0		1056	
2011	AZ	3571	3691	40	3202	4091	4617	40		4731	
2011	CA	26282	24220	189	74437	19958	29501	198		42530	
2011	CO	2979	3142	25	8970	2619	3717	25		2947	
2011	CT	2358	1403	0	695	2333	1573	0		4721	
2011	DC	3641	2600	0	305	3427	3052	0		5566	
2011	DE	549	454	10	22	515	691	10		471	
2011	FL	9641	11032	151	35863	9774	14022	178		11786	
2011	GA	4483	4240	0	12252	5137	6030	0		5512	
2011	GU	67	137	0	1541	109	155	0		101	
2011	HI	1076	2531	25	2556	1522	2703	25		1067	
2011	IA	1179	1834	0	121	1578	2404	0		894	
2011	ID	797	788	0	614	958	937	0		539	
2011	IL	4957	6040	92	2920	5595	7348	102		10833	
2011	IN	2734	2795	21	646	3838	3382	25		2195	
2011	KS	1348	860	14	289	1710	1212	20		1147	
2011	KY	2496	2675	12	851	2573	2804	12		3095	
2011	LA	1223	2133	49	5886	1865	3171	37		3174	
2011	MA	11589	4333	39	703	9871	4658	38		10161	
2011	MD	3606	2831	59	3712	2866	3314	104		5978	
2011	ME	904	1499	15	29	1080	1706	15		1948	
2011	MI	5412	5416	36	2321	5711	6354	43		14556	
2011	MN	3504	3049	14	928	3598	3354	21		8698	
2011	MO	3523	3147	48	2271	4140	3945	51		3887	
2011	MS	429	625	2	1250	689	681	3		310	
2011	MT	708	508	0	552	699	508	0		330	
2011	NC	5175	4070	0	3651	5618	4659	0		4273	
2011	ND	415	145	0	43	585	154	0		479	
2011	NE	1623	1418	0	507	1873	1934	0		818	
2011	NH	582	569	8	310	658	693	9		1056	
2011	NJ	8110	4700	20	1307	4702	2846	28		3989	
2011	NM	1693	1060	0	848	1629	1168	0		1446	
2011	NV	1436	3084	25	4605	1483	3267	25		2328	
2011	NY	49471	10179	128	3667	51653	12287	143		39582	
2011	OH	5997	5134	93	1806	6097	5500	96		11834	
2011	OK	2062	867	59	1637	2531	1042	59		846	
2011	OR	2555	4418	39	10242	2724	4610	43		4920	
2011	PA	7387	6484	165	1060	8148	8042	173		9895	
2011	PR	330	667	37	1866	618	1358	77		1068	
2011	RI	680	338	21	31	767	515	18		1731	
2011	SC	1554	1388	12	2139	1687	2092	12		1478	
2011	SD	371	391	0	64	718	601	0		281	
2011	TN	3007	2888	20	3198	3159	3563	24		3721	
2011	TX	10027	8788	157	17939	13235	10902	186		9055	
2011	UT	1506	1133	48	443	1501	1404	49		1593	
2011	VA	4395	2928	63	1430	3734	3899	57		2759	
2011	VI	37	117	0	378	71	124	0		52	
2011	VT	579	438	4	123	454	345	6		493	
2011	WA	6047	8976	52	5364	6269	10345	55		8599	
2011	WI	2644	2650	61	430	3324	3304	64		2516	
2011	WV	923	471	11	806	1204	663	11		815	
2011	WY	127	68	0	843	514	239	0		127	
2012	AK	1139	577	0	197	1191	686	0		669	
2012	AL	1663	1969	32	1545	2016	2247	34		2609	
2012	AR	886	716	0	2612	1610	1052	0		1069	
2012	AZ	4291	3884	40	3087	4271	4927	40		6095	
2012	CA	22200	23530	160	74208	17541	29429	174		50057	
2012	CO	3502	3733	25	9508	2495	4016	25		2992	
2012	CT	2271	1243	0	695	2158	1381	0		5263	
2012	DC	3772	2503	0	679	3317	2926	0		6452	
2012	DE	527	449	10	22	529	700	10		508	
2012	FL	9388	10289	155	35338	10162	12932	178		13892	
2012	GA	4291	4007	22	12196	4668	4846	20		4822	
2012	GU	66	121	0	1114	109	150	0		130	
