statecode	year	illicitusepastmon	illicitusepastmon_pcp
MT	2012	97000.0	0.09650387358589492
MT	2011	100000.0	0.10018042494532653
NE	2014	105000.0	0.05580644835538397
NE	2015	166000.0	0.08754396974986683
NE	2016	134000.0	0.07026316175838282
NE	2017	141000.0	0.07343459321401861
NE	2018	150000.0	0.077749695739524
NE	2019	149000.0	0.07702614960235897
NE	2021	183000.0	0.09319180400999749
NE	2013	103000.0	0.055123959334573536
NE	2012	102000.0	0.054970965090742514
NE	2011	99000.0	0.05372723172880664
NV	2014	223000.0	0.07854604577015455
NV	2015	309000.0	0.10688916216538763
NV	2016	252000.0	0.08571259478554505
NV	2017	332000.0	0.1107390530943727
NV	2018	412000.0	0.13577678823302988
NV	2019	450000.0	0.14609649641122072
NV	2021	507000.0	0.16126000360688056
NV	2013	247000.0	0.08852615069659688
NV	2012	250000.0	0.09061480696690132
NV	2011	218000.0	0.08004929273879476
NH	2014	144000.0	0.1085307424633313
NH	2015	199000.0	0.1495556918341089
NH	2016	154000.0	0.11537352177675224
NH	2017	165000.0	0.12287802680230415
NH	2018	181000.0	0.13343575694934898
NH	2019	185000.0	0.1360583241585896
NH	2021	180000.0	0.12959037921024744
NH	2013	128000.0	0.09671625641595244
NH	2012	117000.0	0.08858817703703592
NH	2011	124000.0	0.09406809619828341
NJ	2014	597000.0	0.06679215835447393
NJ	2015	894000.0	0.0997989174608253
NJ	2016	614000.0	0.06864577427681845
NJ	2017	641000.0	0.07117758596720013
NJ	2018	697000.0	0.07823970760575269
NJ	2019	765000.0	0.08612740776767892
NJ	2021	1028000.0	0.11092970531329549
NJ	2013	552000.0	0.06202707864033497
NJ	2012	592000.0	0.06678255847140138
NJ	2011	584000.0	0.06620448229285167
NM	2014	189000.0	0.09062262055685442
NM	2015	253000.0	0.12133658240408535
NM	2016	206000.0	0.0989901562458704
NM	2017	233000.0	0.11158629739424444
NM	2018	245000.0	0.11692122086752682
NM	2019	243000.0	0.11588927852485825
NM	2021	359000.0	0.1696695979964809
NM	2013	182000.0	0.08727815403826908
NM	2012	192000.0	0.09206257569989135
NM	2011	177000.0	0.0850052636027632
NY	2014	1737000.0	0.08796617196794101
NY	2015	2519000.0	0.12724927233268932
NY	2016	1871000.0	0.09475677970578197
NY	2017	1858000.0	0.09360484919467839
NY	2018	1901000.0	0.09727661801181228
NY	2019	2062000.0	0.10599601790129838
NY	2021	2842000.0	0.14327548220240732
NY	2013	1645000.0	0.08371021163315467
NY	2012	1603000.0	0.08190999598830082
NY	2011	1525000.0	0.07834495587175408
NC	2014	704000.0	0.07079671648046997
NC	2015	975000.0	0.09708445909816803
NC	2016	830000.0	0.08179928466032797
NC	2017	828000.0	0.0805963428533383
NC	2018	797000.0	0.0767555053054715
NC	2019	927000.0	0.0883860197916035
NC	2021	983000.0	0.09316509404367027
NC	2013	607000.0	0.061636505057848956
NC	2012	626000.0	0.06419148010889582
NC	2011	692000.0	0.07166230979844354
ND	2014	44000.0	0.0595011102366251
ND	2015	61000.0	0.08058890673881795
ND	2016	44000.0	0.058051092877790575
ND	2017	47000.0	0.06221926864559243
ND	2018	54000.0	0.07104543355475827
ND	2019	56000.0	0.07348483456726618
ND	2021	69000.0	0.08903823224267951
ND	2013	38000.0	0.05253022907326999
ND	2012	36000.0	0.051455916572807264
ND	2011	31000.0	0.04532614353473737
OH	2014	847000.0	0.0730540013970823
OH	2015	1179000.0	0.10152045611358512
OH	2016	1008000.0	0.08678901564466718
OH	2017	990000.0	0.08491579055443063
OH	2018	983000.0	0.08409297894630043
OH	2019	1146000.0	0.09804005440966371
OH	2021	1501000.0	0.1274191709570538
OH	2013	939000.0	0.08115250032668418
OH	2012	917000.0	0.07943365622205042
OH	2011	815000.0	0.07059363006391278
OK	2014	266000.0	0.06859115571198006
OK	2015	358000.0	0.09152878119968154
OK	2016	243000.0	0.06193353435820165
OK	2017	270000.0	0.06868718938126579
OK	2018	305000.0	0.0773507200844822
OK	2019	392000.0	0.09906567422404662
OK	2021	568000.0	0.14247590514215108
OK	2013	240000.0	0.06232846686514821
OK	2012	258000.0	0.06763097603556656
OK	2011	274000.0	0.07226676034970782
OR	2014	462000.0	0.11636579057331309
OR	2015	659000.0	0.16356509357089902
OR	2016	594000.0	0.1451093389097012
OR	2017	732000.0	0.1766931159203394
OR	2018	709000.0	0.16918362102105297
OR	2019	712000.0	0.1688109049947875
OR	2021	765000.0	0.1801629945209254
OR	2013	461000.0	0.11730085889164683
OR	2012	454000.0	0.11642957177767696
OR	2011	425000.0	0.10976639386919823
PA	2014	995000.0	0.07781213242076515
PA	2015	1339000.0	0.10458892296295498
PA	2016	1140000.0	0.08917238406358084
PA	2017	1102000.0	0.08605652383027748
PA	2018	1071000.0	0.08362575017217067
PA	2019	1196000.0	0.09342298294429092
PA	2021	1613000.0	0.12442093739798717
PA	2013	904000.0	0.07076985151091676
PA	2012	867000.0	0.06792788456114356
PA	2011	862000.0	0.0676455867218776
RI	2014	131000.0	0.12415025782502016
RI	2015	170000.0	0.16093943186487147
RI	2016	150000.0	0.14198817522476728
RI	2017	159000.0	0.1500511023093714
RI	2018	152000.0	0.14376037415528958
RI	2019	158000.0	0.1491465137946366
RI	2021	187000.0	0.17068117304515293
RI	2013	141000.0	0.13409274843534685
RI	2012	140000.0	0.13329626427698202
RI	2011	130000.0	0.12365619013375795
SC	2014	320000.0	0.06621856015190537
SC	2015	507000.0	0.10355083365569573
SC	2016	348000.0	0.0701454651662256
SC	2017	348000.0	0.06926242877463817
SC	2018	416000.0	0.08182329040954327
SC	2019	450000.0	0.08740046543661194
SC	2021	546000.0	0.10518802359217101
SC	2013	347000.0	0.07267260739053191
SC	2012	345000.0	0.0730356119526907
SC	2011	282000.0	0.060266325869854656
SD	2014	40000.0	0.046883699123860874
SD	2015	75000.0	0.08736483204402255
SD	2016	63000.0	0.07279416352573331
SD	2017	60000.0	0.06899200382675648
SD	2018	60000.0	0.06800909054843664
SD	2019	54000.0	0.0610404687003693
SD	2021	73000.0	0.08152999410303605
SD	2013	42000.0	0.04971137810592548
SD	2012	47000.0	0.056398601314687394
SD	2011	40000.0	0.04853885899704156
TN	2014	393000.0	0.0600059364651648
TN	2015	606000.0	0.09181402236474438
TN	2016	515000.0	0.07742970660606201
TN	2017	538000.0	0.08010739751613465
TN	2018	564000.0	0.08330859186323211
TN	2019	578000.0	0.08463688287924719
TN	2021	695000.0	0.099638462912557
TN	2013	386000.0	0.05942138350838011
TN	2012	381000.0	0.0590126486874797
TN	2011	402000.0	0.06277960937027835
TX	2014	1629000.0	0.06042966717535413
TX	2015	2213000.0	0.08056321001106916
TX	2016	1685000.0	0.06047534120654084
TX	2017	1736000.0	0.061332795564367
TX	2018	1814000.0	0.0632015119585518
TX	2019	2054000.0	0.07083764759553263
TX	2021	2061000.0	0.06979829714506677
TX	2013	1509000.0	0.05705493755282261
TX	2012	1457000.0	0.055911149700165426
TX	2011	1442000.0	0.056164281067406445
UT	2014	167000.0	0.05674670784144358
UT	2015	211000.0	0.07042914044071286
UT	2016	176000.0	0.05768190200828063
UT	2017	196000.0	0.06318844373633267
UT	2018	189000.0	0.059789219276170834
UT	2019	208000.0	0.06487920303385135
UT	2021	293000.0	0.08777776945603248
UT	2013	156000.0	0.05377693328075144
UT	2012	132000.0	0.04623002871515193
UT	2011	108000.0	0.03833563702115062
VT	2014	79000.0	0.1260848886462952
VT	2015	111000.0	0.17730439810747523
VT	2016	99000.0	0.1585029635251059
VT	2017	105000.0	0.16836177578380424
VT	2018	111000.0	0.1772316417557748
VT	2019	115000.0	0.1842981206399472
VT	2021	136000.0	0.21066654274517094
VT	2013	69000.0	0.11011282575044284
VT	2012	77000.0	0.12300103352816484
VT	2011	83000.0	0.13249663570289466
VA	2014	562000.0	0.06749705661189517
VA	2015	796000.0	0.0949541530095516
VA	2016	575000.0	0.06835629153684915
VA	2017	575000.0	0.06788649849705196
VA	2018	609000.0	0.07149830030107945
VA	2019	654000.0	0.07662099984781241
VA	2021	932000.0	0.10784198695852504
VA	2013	544000.0	0.06585633513126778
VA	2012	499000.0	0.06095872312609037
VA	2011	523000.0	0.06459498327940949
WA	2014	828000.0	0.11725504246246918
WA	2015	1037000.0	0.14462332457643984
WA	2016	818000.0	0.11223929747530187
WA	2017	1034000.0	0.13962137222423193
WA	2018	1118000.0	0.1483626168139964
WA	2019	1235000.0	0.16218218693289585
WA	2021	1283000.0	0.16579029117582145
WA	2013	792000.0	0.11360692520274963
WA	2012	680000.0	0.09859341987515753
WA	2011	670000.0	0.09809608672748234
WV	2014	123000.0	0.06647477255359326
WV	2015	174000.0	0.09435353728157699
WV	2016	130000.0	0.07099549888537067
WV	2017	140000.0	0.07709858210200472
WV	2018	163000.0	0.09026310310150668
WV	2019	164000.0	0.09151035043442307
WV	2021	218000.0	0.12226865564491388
WV	2013	100000.0	0.05392858991837369
WV	2012	110000.0	0.05928599185194886
WV	2011	125000.0	0.06737222453383811
WI	2014	401000.0	0.0696475106486007
WI	2015	584000.0	0.10118972432211115
WI	2016	414000.0	0.07164229934402304
WI	2017	445000.0	0.07678393673141652
WI	2018	509000.0	0.08755380516749782
WI	2019	537000.0	0.09222946966852694
WI	2021	659000.0	0.11177243606921954
WI	2013	401000.0	0.06982762328537052
WI	2012	391000.0	0.0682802697262747
WI	2011	369000.0	0.06460347559695624
WY	2014	34000.0	0.058203929449989984
WY	2015	52000.0	0.08872100145536566
WY	2016	38000.0	0.06490168249072162
WY	2017	41000.0	0.0707732408102673
WY	2018	43000.0	0.07442832984558719
WY	2019	42000.0	0.07256906588061697
WY	2021	62000.0	0.10711762033023325
WY	2013	32000.0	0.05492072536548027
WY	2012	33000.0	0.057250716501391366
WY	2011	33000.0	0.05808243481566747
